id;flight_number;origin_airport_id;destination_airport_id;sched_aircraft_type_id;act_aircraft_type_id;scheduled_depart_day;scheduled_depart_hour;scheduled_arrival_day;scheduled_arrival_hour;distance;actual_distance;actual_arival_day;actual_arrival_hour;planned_first_passengers;planned_business_passengers;planned_premium_economy_passengers;planned_economy_passengers;actual_first_passengers;actual_business_passengers;actual_premium_economy_passengers;actual_economy_passengers
63a2022d-a90f-40fc-8c29-cad16627ae78;AB1000;381fada9-f9a0-4ee4-a994-228b88e53d35;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;020941c7-3b40-4654-8b78-c755f48571c6;020941c7-3b40-4654-8b78-c755f48571c6;0;15;0;16;736;736;0;16;20;1;28;163;20;1;28;143
d5df4836-e894-4aa2-b430-3a13ff5b6dd4;AB1000;381fada9-f9a0-4ee4-a994-228b88e53d35;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;7;15;7;16;736;736;7;16;6;31;14;265;6;32;15;312
b99e3eed-5b72-4f93-a61e-e3e9859dffe0;AB1000;381fada9-f9a0-4ee4-a994-228b88e53d35;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;14;15;14;16;736;736;14;16;13;63;17;109;13;62;15;97
d84ae484-b177-42ca-97fd-2dec8fd0e911;AB1000;381fada9-f9a0-4ee4-a994-228b88e53d35;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;21;15;21;16;736;758;21;17;1;37;14;116;1;38;15;111
0f6b53cb-c5bf-4d29-87af-9205496df45a;AB1000;381fada9-f9a0-4ee4-a994-228b88e53d35;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;7e61f470-91fe-40e5-9926-9ec7849506dd;7e61f470-91fe-40e5-9926-9ec7849506dd;28;15;28;16;736;736;28;16;6;21;6;77;6;21;6;66
1180a5f0-b3de-474b-9f4d-bcd579bc3dc6;AB1001;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;0;21;1;1;2946;2946;1;1;6;54;14;52;6;55;14;46
a25b3b15-f88b-4159-9b09-b74f9fb5e3d7;AB1001;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;7;21;8;1;2946;2946;8;1;0;9;3;127;0;9;3;150
127ba66b-5c4a-434d-8909-9a2d7e69dbca;AB1001;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;14;21;15;1;2946;3152;15;3;6;45;14;164;6;45;14;172
8e2e893b-f279-4db4-9df6-2bfa37ef2a5c;AB1001;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;381fada9-f9a0-4ee4-a994-228b88e53d35;6f8c4d73-5e4d-48dc-9396-51000e68a562;6f8c4d73-5e4d-48dc-9396-51000e68a562;21;21;22;1;2946;2946;22;1;3;17;8;104;3;17;9;116
13927241-1fdd-4191-8fc3-e16a24ac9b79;AB1001;70b98dc4-3a81-4a61-8b12-ef5cec095bcd;381fada9-f9a0-4ee4-a994-228b88e53d35;b2017ed7-66c7-4498-b647-500ea1ef03d6;b2017ed7-66c7-4498-b647-500ea1ef03d6;28;21;29;1;2946;2946;29;1;10;28;2;131;10;28;2;124
